Date,code,high,low,open,close,adjust,volume_match,value_match
2021-01-05,SJS,11000,10660,10930,10810,10810,200300,2165243000
2021-01-06,SJS,10890,10660,10790,10690,10690,211300,2258797000
2021-01-07,SJS,11430,10660,10810,11430,11430,289800,3312414000
2021-01-08,SJS,11580,10810,11580,11510,11510,169100,1946341000
2021-01-11,SJS,11540,11120,11540,11510,11510,88000,1012880000
2021-01-12,SJS,11350,11120,11310,11200,11200,216000,2419200000
2021-01-13,SJS,11540,11160,11200,11370,11370,157300,1788501000
2021-01-14,SJS,11350,11080,11200,11270,11270,81200,915124000
2021-01-15,SJS,11510,11200,11240,11310,11310,119100,1347021000
2021-01-18,SJS,11200,11000,11200,11200,11200,93500,1047200000
2021-01-19,SJS,11240,10420,11200,10770,10770,278500,2999445000
2021-01-20,SJS,10890,10500,10770,10890,10890,267300,2910897000
2021-01-21,SJS,11120,10770,10830,11060,11060,127500,1410150000
2021-01-22,SJS,11200,10810,11060,10810,10810,114500,1237745000
2021-01-25,SJS,11560,10790,10810,11560,11560,281500,3254140000
2021-01-26,SJS,12320,11390,11560,11700,11700,332700,3892590000
2021-01-27,SJS,12510,11740,11970,12510,12510,758400,9487584000
2021-01-28,SJS,13320,11640,11970,12320,12320,911600,11230912000
2021-01-29,SJS,13170,11810,11810,13170,13170,320600,4222302000
2021-02-01,SJS,13750,12360,13750,12630,12630,508600,6423618000
2021-02-02,SJS,12740,11890,12630,12630,12630,243800,3079194000
2021-02-03,SJS,13490,12360,12720,13360,13360,539000,7201040000
2021-02-04,SJS,13490,13090,13360,13300,13300,243700,3241210000
2021-02-05,SJS,14230,13320,13320,13820,13820,451300,6236966000
2021-02-08,SJS,14440,13380,13900,14210,14210,453500,6444235000
2021-02-09,SJS,14250,13710,14210,14050,14050,261500,3674075000
2021-02-17,SJS,14750,13710,13940,14540,14540,295400,4295116000
2021-02-18,SJS,15410,14230,14230,15330,15330,359000,5503470000
2021-02-19,SJS,16390,15100,15330,16390,16390,302500,4957975000
2021-02-22,SJS,17370,15640,17370,16390,16390,466500,7645935000
2021-02-23,SJS,16600,15680,16390,16140,16140,218400,3524976000
2021-02-24,SJS,16239,15640,16140,15870,15870,291700,4629279000
2021-02-25,SJS,16219,15410,15910,15640,15640,287000,4488680000
2021-02-26,SJS,15750,15060,15290,15600,15600,215800,3366480000
2021-03-01,SJS,16020,15560,15600,15910,15910,140000,2227400000
2021-03-02,SJS,15910,15250,15910,15560,15560,182900,2845924000
2021-03-03,SJS,15560,14670,15100,15140,15140,180600,2734284000
2021-03-04,SJS,15140,14130,14830,14630,14630,153500,2245705000
2021-03-05,SJS,15060,14130,14630,15060,15060,134700,2028582000
2021-03-08,SJS,15250,14860,15060,15060,15060,142300,2143038000
2021-03-09,SJS,15950,15060,15060,15680,15680,115900,1817312000
2021-03-10,SJS,15910,15640,15830,15910,15910,127000,2020570000
2021-03-11,SJS,16020,15520,15910,15660,15660,136900,2143854000
2021-03-12,SJS,15640,15170,15560,15440,15440,243100,3753464000
2021-03-15,SJS,15850,15250,15440,15440,15440,138500,2138440000
2021-03-16,SJS,15480,15210,15330,15410,15410,69700,1074077000
2021-03-17,SJS,15440,14830,15440,15250,15250,158500,2417125000
2021-03-18,SJS,15270,14860,15250,15060,15060,87200,1313232000
2021-03-19,SJS,15410,14860,14860,15210,15210,134700,2048787000
2021-03-22,SJS,15140,14710,15140,14850,14850,80000,1188000000
2021-03-23,SJS,15100,14480,14850,14480,14480,141900,2054712000
2021-03-24,SJS,14480,13490,14480,14150,14150,116000,1641400000
2021-03-25,SJS,14750,13710,14750,13900,13900,139800,1943220000
2021-03-26,SJS,14290,13320,13900,13710,13710,111000,1521810000
2021-03-29,SJS,14650,13440,13750,14650,14650,156500,2292725000
2021-03-30,SJS,15560,14900,15250,15230,15230,211100,3215053000
2021-03-31,SJS,15640,14980,15230,15250,15250,183800,2802950000
2021-04-01,SJS,15910,15040,15060,15910,15910,331800,5278938000
2021-04-02,SJS,16140,15830,15950,16100,16100,271100,4364710000
2021-04-05,SJS,16910,16059,16910,16059,16059,63000,1011717000
2021-04-06,SJS,16020,15440,15830,16020,16020,189900,3042198000
2021-04-07,SJS,15980,15440,15980,15910,15910,55300,879823000
2021-04-08,SJS,15790,15580,15580,15790,15790,62100,980559000
2021-04-09,SJS,16800,15790,15790,16600,16600,292100,4848860000
2021-04-12,SJS,16950,16410,16800,16720,16720,183000,3059760000
2021-04-13,SJS,17760,16800,16800,17570,17570,554000,9733780000
2021-04-14,SJS,18780,17370,17370,18780,18780,429400,8064132000
2021-04-15,SJS,19690,18920,19650,19150,19150,373600,7154440000
2021-04-16,SJS,19150,17920,18920,18490,18490,199000,3679510000
2021-04-19,SJS,18690,18300,18380,18610,18610,219700,4088617000
2021-04-20,SJS,19310,18570,18570,19250,19250,472700,9099475000
2021-04-22,SJS,20040,17920,19310,17920,17920,348100,6237952000
2021-04-23,SJS,18380,17370,17950,18380,18380,215800,3966404000
2021-04-26,SJS,19090,17760,17950,17840,17840,123100,2196104000
2021-04-27,SJS,18070,17410,17450,17990,17990,37600,676424000
2021-04-28,SJS,18570,17860,17990,18490,18490,107200,1982128000
2021-04-29,SJS,18490,18150,18340,18320,18320,49700,910504000
2021-05-04,SJS,18050,17050,17050,17950,17950,92700,1663965000
2021-05-05,SJS,18320,16850,16850,17880,17880,131400,2349432000
2021-05-06,SJS,18110,17660,17760,17880,17880,44800,801024000
2021-05-07,SJS,17760,17180,17760,17180,17180,120500,2070190000
2021-05-10,SJS,17760,17070,17070,17680,17680,97500,1723800000
2021-05-11,SJS,18530,17570,17680,18110,18110,253800,4596318000
2021-05-12,SJS,19110,18070,18070,19070,19070,269400,5137458000
2021-05-13,SJS,19070,18530,19070,18530,18530,101000,1871530000
2021-05-14,SJS,19810,18220,18220,19810,19810,475100,9411731000
2021-05-17,SJS,21000,20080,20930,20770,20770,383500,7965295000
2021-05-18,SJS,21510,20660,21240,20810,20810,190600,3966386000
2021-05-19,SJS,21540,20500,20540,21430,21430,198400,4251712000
2021-05-20,SJS,22010,21240,21430,21470,21470,146100,3136767000
2021-05-21,SJS,22010,21470,21470,21620,21620,170700,3690534000
2021-05-24,SJS,21930,20850,21620,20850,20850,203700,4247145000
2021-05-25,SJS,21350,20850,21350,21120,21120,129500,2735040000
2021-05-26,SJS,21430,20890,20970,21240,21240,178600,3793464000
2021-05-27,SJS,21620,20040,21240,20770,20770,106900,2220313000
2021-05-28,SJS,20770,20270,20770,20540,20540,135900,2791386000
2021-05-31,SJS,20500,19690,20500,20120,20120,156800,3154816000
2021-06-01,SJS,21240,20120,20120,20850,20850,181100,3775935000
2021-06-02,SJS,20850,20420,20850,20500,20500,79800,1635900000
2021-06-03,SJS,20810,20270,20460,20500,20500,155400,3185700000
2021-06-04,SJS,20660,20080,20660,20150,20150,117100,2359565000
2021-06-07,SJS,20190,19310,20080,19420,19420,119800,2326516000
2021-06-08,SJS,19310,18610,19310,19030,19030,157600,2999128000
2021-06-09,SJS,20350,19030,19030,20350,20350,337400,6866090000
2021-06-10,SJS,20890,20310,20350,20770,20770,169400,3518438000
2021-06-11,SJS,21040,20460,20850,20460,20460,167200,3420912000
2021-06-14,SJS,21040,20390,20500,20810,20810,176700,3677127000
2021-06-15,SJS,20810,20460,20810,20660,20660,84900,1754034000
2021-06-16,SJS,21040,20460,21040,20730,20730,98500,2041905000
2021-06-17,SJS,22160,20420,20580,22160,22160,457300,10133768000
2021-06-18,SJS,23710,22200,23130,23710,23710,713300,16912343000
2021-06-21,SJS,24560,23710,23940,23820,23820,249800,5950236000
2021-06-22,SJS,23750,22970,23360,23510,23510,218800,5143988000
2021-06-23,SJS,23510,22930,23200,23170,23170,136300,3158071000
2021-06-24,SJS,22970,21540,22970,21540,21540,367700,7920258000
2021-06-25,SJS,22970,21540,21540,22390,22390,350300,7843217000
2021-06-28,SJS,22390,22010,22390,22080,22080,90800,2004864000
2021-06-29,SJS,22630,22010,22080,22360,22360,114400,2557984000
2021-06-30,SJS,22510,22160,22280,22200,22200,70300,1560660000
2021-07-01,SJS,23750,22390,22390,23710,23710,574700,13626137000
2021-07-02,SJS,23750,23200,23750,23200,23200,108900,2526480000
2021-07-05,SJS,23470,22630,23470,23170,23170,53500,1239595000
2021-07-06,SJS,23510,21620,23510,21620,21620,144600,3126252000
2021-07-07,SJS,21890,20460,21700,21620,21620,269000,5815780000
2021-07-08,SJS,22360,21390,21390,21780,21780,59800,1302444000
2021-07-09,SJS,22010,21240,21780,21930,21930,151700,3326781000
2021-07-12,SJS,23440,22200,23440,23170,23170,615400,14258818000
2021-07-13,SJS,23750,22780,23750,23170,23170,121400,2812838000
2021-07-14,SJS,23980,22780,23130,23590,23590,237000,5590830000
2021-07-15,SJS,24020,23470,23590,23860,23860,80200,1913572000
2021-07-16,SJS,24250,23750,23780,23750,23750,91400,2170750000
2021-07-19,SJS,23360,22900,23170,23010,23010,191300,4401813000
2021-07-20,SJS,23400,22390,22970,23400,23400,89100,2084940000
2021-07-21,SJS,23470,23170,23400,23280,23280,72000,1676160000
2021-07-22,SJS,23940,22860,22860,23710,23710,175000,4149250000
2021-07-23,SJS,24710,23750,23750,24130,24130,340400,8213852000
2021-07-26,SJS,24670,24130,24170,24590,24590,75300,1851627000
2021-07-27,SJS,25020,24440,24900,24440,24440,86800,2121392000
2021-07-28,SJS,24440,23940,24320,23980,23980,124200,2978316000
2021-07-29,SJS,24250,23750,24090,24130,24130,70200,1693926000
2021-07-30,SJS,24320,23980,24130,24250,24250,119600,2900300000
2021-08-02,SJS,24900,23940,24210,24440,24440,206100,5037084000
2021-08-03,SJS,24900,24320,24440,24710,24710,138500,3422335000
2021-08-04,SJS,24830,24320,24320,24440,24440,110200,2693288000
2021-08-05,SJS,24710,24320,24440,24440,24440,114700,2803268000
2021-08-06,SJS,24710,24250,24440,24360,24360,214600,5227656000
2021-08-09,SJS,24520,24130,24320,24520,24520,111100,2724172000
2021-08-10,SJS,24710,24440,24520,24710,24710,102700,2537717000
2021-08-11,SJS,26250,24560,24560,25140,25140,138400,3479376000
2021-08-12,SJS,25680,25060,25140,25060,25060,93400,2340604000
2021-08-13,SJS,25100,24520,25060,24790,24790,135300,3354087000
2021-08-16,SJS,24830,24480,24790,24520,24520,208400,5109968000
2021-08-17,SJS,24830,24360,24360,24590,24590,58900,1448351000
2021-08-18,SJS,25330,24480,24590,25140,25140,99500,2501430000
2021-08-19,SJS,25170,24900,25140,24980,24980,53000,1323940000
2021-08-20,SJS,24980,23750,24980,23940,23940,179500,4297230000
2021-08-23,SJS,24440,23940,23940,24130,24130,97400,2350262000
2021-08-24,SJS,24520,24090,24130,24130,24130,87700,2116201000
2021-08-25,SJS,25290,24320,25290,24900,24900,87600,2181240000
2021-08-26,SJS,25290,24710,24900,25100,25100,49200,1234920000
2021-08-27,SJS,25100,24520,25100,24750,24750,30600,757350000
2021-08-30,SJS,25140,24750,24750,24790,24790,55800,1383282000
2021-08-31,SJS,24790,24480,24790,24710,24710,59200,1462832000
2021-09-01,SJS,24710,24320,24320,24520,24520,37800,926856000
2021-09-06,SJS,25060,24440,25060,24630,24630,31300,770919000
2021-09-07,SJS,24860,24130,24860,24320,24320,88300,2147456000
2021-09-08,SJS,24320,23900,24020,24320,24320,67500,1641600000
2021-09-09,SJS,24320,23940,24050,24290,24290,139000,3376310000
2021-09-10,SJS,24440,23940,24440,23980,23980,81200,1947176000
2021-09-13,SJS,23940,23440,23940,23550,23550,66200,1559010000
2021-09-14,SJS,24130,22780,22780,23750,23750,100300,2382125000
2021-09-15,SJS,23940,23670,23750,23940,23940,32200,770868000
2021-09-16,SJS,23900,23170,23170,23630,23630,45800,1082254000
2021-09-17,SJS,23670,23170,23630,23170,23170,121900,2824423000
2021-09-20,SJS,24250,22970,23360,23940,23940,124400,2978136000
2021-09-21,SJS,23940,23550,23940,23940,23940,82500,1975050000
2021-09-22,SJS,25600,23940,24050,25480,25480,350700,8935836000
2021-09-23,SJS,25870,25060,25870,25330,25330,57700,1461541000
2021-09-24,SJS,25100,24590,24790,25060,25060,33000,826980000
2021-09-27,SJS,24560,23670,23980,23750,23750,122800,2916500000
2021-09-28,SJS,24130,23320,23320,24050,24050,53700,1291485000
2021-09-29,SJS,24050,23980,24050,24020,24020,5000,120100000
2021-09-30,SJS,24020,23780,24020,23860,23860,26000,620360000
2021-10-01,SJS,24130,23590,23940,23750,23750,43300,1028375000
2021-10-04,SJS,24130,23630,24020,24130,24130,32000,772160000
2021-10-05,SJS,24320,23820,24170,24130,24130,10700,258191000
2021-10-06,SJS,24710,23980,23980,24130,24130,66400,1602232000
2021-10-07,SJS,24670,24130,24130,24170,24170,18900,456813000
2021-10-08,SJS,24670,24130,24170,24320,24320,37400,909568000
2021-10-11,SJS,24320,24020,24320,24320,24320,36200,880384000
2021-10-12,SJS,24710,23980,24710,23980,23980,23800,570724000
2021-10-13,SJS,24360,24020,24020,24320,24320,20800,505856000
2021-10-14,SJS,24320,23980,24320,24130,24130,31300,755269000
2021-10-15,SJS,24250,23940,24020,24210,24210,50200,1215342000
2021-10-18,SJS,24210,23630,24210,23630,23630,42000,992460000
2021-10-19,SJS,23980,23550,23630,23630,23630,53100,1254753000
2021-10-20,SJS,23750,23550,23670,23710,23710,24200,573782000
2021-10-21,SJS,23710,23440,23710,23470,23470,38600,905942000
2021-10-22,SJS,23470,22630,23470,22970,22970,161200,3702764000
2021-10-25,SJS,23360,22970,23130,23010,23010,51100,1175811000
2021-10-26,SJS,23940,22780,23010,23550,23550,57200,1347060000
2021-10-27,SJS,23710,23360,23550,23550,23550,29000,682950000
2021-10-28,SJS,23750,23440,23550,23470,23470,81900,1922193000
2021-10-29,SJS,23780,23170,23590,23780,23780,95100,2261478000
2021-11-01,SJS,25100,23710,23710,24900,24900,226500,5639850000
2021-11-02,SJS,26640,25480,25830,26640,26640,361500,9630360000
2021-11-03,SJS,28190,26290,27030,26290,26290,171700,4513993000
2021-11-04,SJS,27410,25870,26250,26760,26760,120400,3221904000
2021-11-05,SJS,26640,26100,26140,26220,26220,80500,2110710000
2021-11-08,SJS,27220,26060,26250,26830,26830,100300,2691049000
2021-11-09,SJS,27220,26290,26290,26490,26490,49200,1303308000
2021-11-10,SJS,26950,26020,26530,26370,26370,61300,1616481000
2021-11-11,SJS,26830,26180,26370,26640,26640,102800,2738592000
2021-11-12,SJS,26990,26250,26640,26640,26640,102600,2733264000
2021-11-15,SJS,26680,26290,26640,26290,26290,62100,1632609000
2021-11-16,SJS,28070,26290,26330,27680,27680,199900,5533232000
2021-11-17,SJS,28570,27530,27530,27990,27990,103400,2894166000
2021-11-18,SJS,29380,27340,27340,29380,29380,252800,7427264000
2021-11-19,SJS,30040,27410,30040,28960,28960,162100,4694416000
2021-11-22,SJS,29000,26950,28960,27570,27570,251600,6936612000
2021-11-23,SJS,27990,26530,26530,27990,27990,100300,2807397000
2021-11-24,SJS,28690,27800,28570,28190,28190,86400,2435616000
2021-11-25,SJS,29580,28300,29310,29580,29580,194500,5753310000
2021-11-26,SJS,30580,27800,27800,29650,29650,188700,5594955000
2021-11-29,SJS,30460,29650,29730,29960,29960,141600,4242336000
2021-11-30,SJS,30460,29690,29810,29730,29730,138900,4129497000
2021-12-01,SJS,30120,29460,29810,29730,29730,50800,1510284000
2021-12-02,SJS,30000,29340,29730,29650,29650,107800,3196270000
2021-12-03,SJS,29960,28920,29730,29650,29650,108700,3222955000
2021-12-06,SJS,30000,29000,29650,29540,29540,96800,2859472000
2021-12-07,SJS,29610,29150,29540,29580,29580,103700,3067446000
2021-12-08,SJS,31620,29580,29730,31510,31510,300200,9459302000
2021-12-09,SJS,31510,29690,31510,30730,30730,82900,2547517000
2021-12-10,SJS,31080,30230,30230,30690,30690,52300,1605087000
2021-12-13,SJS,31470,30420,30500,31240,31240,140400,4386096000
2021-12-14,SJS,31390,30540,30930,30690,30690,104700,3213243000
2021-12-15,SJS,30850,30310,30390,30390,30390,64900,1972311000
2021-12-16,SJS,30390,30040,30390,30390,30390,69700,2118183000
2021-12-17,SJS,30890,30080,30390,30390,30390,106000,3221340000
2021-12-20,SJS,30770,29880,30770,30120,30120,110900,3340308000
2021-12-21,SJS,31620,29960,30120,30310,30310,47200,1430632000
2021-12-22,SJS,30580,30000,30310,30500,30500,64100,1955050000
2021-12-23,SJS,31120,29880,31120,30350,30350,60000,1821000000
2021-12-24,SJS,30350,29920,29920,30270,30270,33700,1020099000
2021-12-27,SJS,30120,29000,29000,29580,29580,36100,1067838000
2021-12-28,SJS,30310,29690,30190,30310,30310,64300,1948933000
2021-12-29,SJS,31200,30350,31200,30580,30580,82900,2535082000
2021-12-30,SJS,31040,29730,30310,30500,30500,52300,1595150000
2021-12-31,SJS,31700,30500,30620,31660,31660,150000,4749000000
2022-01-04,SJS,31660,31270,31470,31270,31270,58000,1813660000
2022-01-05,SJS,31510,30770,31350,30850,30850,63000,1943550000
2022-01-06,SJS,31270,30500,30850,31200,31200,57100,1781520000
2022-01-07,SJS,31580,30970,31200,31270,31270,108100,3380287000
2022-01-10,SJS,31470,30730,30970,31000,31000,73700,2284700000
2022-01-11,SJS,33200,30810,31430,32430,32430,241800,7841574000
2022-01-12,SJS,32820,30930,32390,32430,32430,142600,4624518000
2022-01-13,SJS,32900,32360,32820,32630,32630,107400,3504462000
2022-01-14,SJS,34900,32360,32360,34900,34900,514200,17945580000
2022-01-17,SJS,37260,35060,37260,35330,35330,140800,4974464000
2022-01-18,SJS,35480,32860,35330,32900,32900,90400,2974160000
2022-01-19,SJS,33170,31270,31350,32470,32470,98700,3204789000
2022-01-20,SJS,33980,31660,31850,33980,33980,87400,2969852000
2022-01-21,SJS,33980,32820,33980,33130,33130,49000,1623370000
2022-01-24,SJS,32280,30890,30890,31510,31510,88400,2785484000
2022-01-25,SJS,32430,31270,31270,32430,32430,58000,1880940000
2022-01-26,SJS,33170,31270,32430,31660,31660,43300,1370878000
2022-01-27,SJS,32430,30970,30970,31310,31310,52400,1640644000
2022-01-28,SJS,31890,31310,31310,31470,31470,62900,1979463000
2022-02-07,SJS,32430,31620,31660,32009,32009,15500,496139500
2022-02-08,SJS,32009,31580,32009,31660,31660,19400,614204000
2022-02-09,SJS,32080,31080,31660,31850,31850,54800,1745380000
2022-02-10,SJS,32390,31780,32390,31930,31930,29900,954707000
2022-02-11,SJS,32159,31890,31930,31970,31970,27400,875978000
2022-02-14,SJS,32049,31270,31970,31740,31740,33200,1053768000
2022-02-15,SJS,32200,31740,31740,32159,32159,20600,662475400
2022-02-16,SJS,32630,32080,32159,32630,32630,25100,819013000
2022-02-17,SJS,32659,32280,32430,32630,32630,11900,388297000
2022-02-18,SJS,32780,32049,32470,32780,32780,21900,717882000
2022-02-21,SJS,33550,32430,32780,33200,33200,44400,1474080000
2022-02-22,SJS,33240,32049,33240,32740,32740,26400,864336000
2022-02-23,SJS,33400,32430,32900,32860,32860,55600,1827016000
2022-02-24,SJS,32430,31270,32049,31780,31780,48400,1538152000
2022-02-25,SJS,33200,32360,32390,32470,32470,88400,2870348000
2022-02-28,SJS,32630,31700,32430,32430,32430,34600,1122078000
2022-03-01,SJS,32820,31930,32049,32780,32780,41400,1357092000
2022-03-02,SJS,32820,32240,32740,32240,32240,60400,1947296000
2022-03-03,SJS,33940,32320,32320,33630,33630,96300,3238569000
2022-03-04,SJS,34050,33630,33980,33670,33670,28700,966329000
2022-03-07,SJS,34750,33400,33980,33980,33980,29000,985420000
2022-03-08,SJS,34860,33240,33900,34750,34750,87200,3030200000
2022-03-09,SJS,35330,34020,35330,34750,34750,14900,517775000
2022-03-10,SJS,34750,33780,33780,34590,34590,28600,989274000
2022-03-11,SJS,33980,33010,33200,33200,33200,25500,846600000
2022-03-14,SJS,33200,31810,33200,32590,32590,79100,2577869000
2022-03-15,SJS,33090,32470,32470,32970,32970,36800,1213296000
2022-03-16,SJS,33200,32740,32970,32740,32740,19500,638430000
2022-03-17,SJS,33590,32820,32820,33050,33050,40800,1348440000
2022-03-18,SJS,33550,33130,33550,33360,33360,13200,440352000
2022-03-21,SJS,33860,33360,33860,33550,33550,69600,2335080000
2022-03-22,SJS,33860,33550,33590,33590,33590,77800,2613302000
2022-03-23,SJS,33980,33400,33980,33440,33440,34600,1157024000
2022-03-24,SJS,33670,33470,33470,33670,33670,28300,952861000
2022-03-25,SJS,33980,33280,33590,33670,33670,68500,2306395000
2022-03-28,SJS,33780,33200,33780,33590,33590,32400,1088316000
2022-03-29,SJS,34090,32780,33550,34090,34090,38200,1302238000
2022-03-30,SJS,36450,34440,34440,36450,36450,262600,9571770000
2022-03-31,SJS,37070,36450,36530,36870,36870,41000,1511670000
2022-04-01,SJS,36870,35680,35680,36680,36680,38400,1408512000
2022-04-04,SJS,37840,36600,37180,37100,37100,104400,3873240000
2022-04-05,SJS,38420,36600,37100,37260,37260,65000,2421900000
2022-04-06,SJS,37030,34750,37030,35330,35330,36000,1271880000
2022-04-07,SJS,35480,33590,35140,33670,33670,85400,2875418000
2022-04-08,SJS,34360,33670,33670,33670,33670,45600,1535352000
2022-04-12,SJS,33940,33200,33630,33510,33510,35100,1176201000
2022-04-13,SJS,33980,33400,33980,33590,33590,16200,544158000
2022-04-14,SJS,33710,33400,33590,33590,33590,10200,342618000
2022-04-15,SJS,33940,32820,33200,33240,33240,36000,1196640000
2022-04-18,SJS,33590,31660,32430,32240,32240,54100,1744184000
2022-04-19,SJS,32820,30850,32049,32049,32049,64800,2076775200
2022-04-20,SJS,32320,30500,32320,31930,31930,47600,1519868000
2022-04-21,SJS,31780,29730,30500,31780,31780,34100,1083698000
2022-04-22,SJS,32390,29730,31740,31660,31660,46900,1484854000
2022-04-25,SJS,30500,29540,30500,30460,30460,46700,1422482000
2022-04-26,SJS,30080,29150,30040,29960,29960,38600,1156456000
2022-04-27,SJS,30500,29960,29960,30500,30500,18100,552050000
2022-04-28,SJS,31810,30120,30540,30620,30620,67600,2069912000
2022-04-29,SJS,31270,30890,30890,30970,30970,32300,1000331000
2022-05-04,SJS,31580,30690,31580,31080,31080,12900,400932000
2022-05-05,SJS,31120,30690,31080,30890,30890,34600,1068794000
2022-05-06,SJS,30890,30500,30890,30500,30500,47800,1457900000
2022-05-09,SJS,30460,28690,30460,28840,28840,5600,161504000
2022-05-10,SJS,29150,27070,28840,27990,27990,8700,243513000
2022-05-11,SJS,29690,27800,27990,28260,28260,38500,1088010000
2022-05-12,SJS,29110,27800,29110,28030,28030,4400,123332000
2022-05-13,SJS,27990,26100,27990,27180,27180,115500,3139290000
2022-05-16,SJS,27220,25870,27180,27180,27180,30100,818118000
2022-05-17,SJS,27800,26100,26290,27030,27030,9800,264894000
2022-05-18,SJS,27410,26490,27410,27030,27030,44900,1213647000
2022-05-19,SJS,27720,26990,27030,27720,27720,15900,440748000
